guid,label,premise,hypothesis,expl1,template
4792134256.jpg#0r1e,entailment,"A woman in a white and light green jacket and another woman in a purple shirt, both wearing hats, sit at a table watching a cooking fire.",A woman in a white and light green jacket,Another woman in a purple shirt is sitting with a woman in a white and light green jacket,
2106772874.jpg#3r1e,entailment,A white dog plays with a brown dog on carpet.,white dog plays with a brown dog,white dog means white dog.,
2446244213.jpg#3r1e,entailment,"Two women on the street presenting to a crowd, possibly trying to start a riot.","Women on the street presenting to a crowd, possibly trying to start a riot.",Women implies it is two or more females.,
6164245162.jpg#2r1e,entailment,"A group of people, at the beach, on a sunny day.","A group of people, at the beach",A group of people at the beach is a part of the sentence a group of people at the beach on a sunny day.,
50766677.jpg#2r1e,entailment,Young G?uys in a Karate class practicing.,A karate class practicing.,A karate class practicing is part of the description of young guys in the karate class practicing.,
3690358925.jpg#0r1e,entailment,A child with brown hair sorts through colorful fabric letters spread out on the floor.,A child with brown hair,A child with brown hair is the subject of both sentences.,
270419656.jpg#0r1e,entailment,Two adults and three small children are walking on a sidewalk in a park-like setting.,Two adults and three small children,Answer: Children cannot go walking alone they accompany a adult.,
4861707754.jpg#1r1e,entailment,"On a sunny day, a man sits on rocks smoking beside a body of water.",man sits on rock,If a man sits on rocks smoking he is on a rock.,
507746329.jpg#0r1e,entailment,"Children are playing in a park with a large, circular water fountain shooting water out of vents in the concrete on a clear, hot day.",children are playing,Children are playing in a park and children are playing means the same thing.,
3787108012.jpg#1r1e,entailment,"A nanny watching her neighbors kids after a long hot day in the city of Las Vegas, Nevada.","A nanny watching her neighbors kids after a long hot day in the city of Las Vegas, Nevada.",A nanny watching her neighbors kids is identical to a nanny watching her neighbors kids.,
2481367956.jpg#1r1e,entailment,A little boy in navy blue reaching up for a bar on a playground.,A little boy in navy blue reaching up for a bar on a playground,Both are the same sentences related with activity of little boy.,
2575372856.jpg#0r1e,entailment,A boy has shaving cream on his face and is shaving his facial hair with a blue and green razor.,A boy has shaving cream on his face,The boy having shaving cream on his face would imply that he is shaving,
4686379339.jpg#4r1e,entailment,Clown making some balloon animals.,Clown making some balloon animals,The same clown could be making balloon animals.,
2301525531.jpg#1r1e,entailment,A black and white dog is jumping in the snow at a park.,dog is jumping,"If a dog is jumping in snow, it is jumping.",
2650485780.jpg#4r1e,entailment,A group of children play tambourines.,Children play tambourines.,A group of children is children.,
3838186953.jpg#1r4e,entailment,A group of people are riding bikes across a bridge.,People are riding bikes across a bridge.,A group implies people.,
3640443200.jpg#4r1e,entailment,A man in a black suit is surrounded by four women who have their hands on him.,A man in a black suit is surrounded,Surrounded by four women is a type of surrounded.,
6887324285.jpg#4r1e,entailment,A skier skiing after a snowstorm.,a skier skiing,“A skiier skiing after a snowstorm” is rephrasing “A skier skiing”,
2978735290.jpg#4r1e,entailment,a boy jumps on another boy.,A boy jumps on another boy,"A boy is with another, one jumps on the other.",
4891622164.jpg#2r1e,entailment,Women security officers standing in a group with sunglasses on.,Women security officers standing in a group,Women security officers standing in a group with sunglasses on implies Women security officers standing in a group,
2835793460.jpg#2r1e,entailment,A skateboarder is talking to a young girl who is trying to pull her bike away from him.,A skateboarder is talking to a young girl,The girl is young.,
363503753.jpg#2r1e,entailment,Bicycle riders are peddling inside a building.,riders are peddling,Bicycle riders are types of riders.,
4717112737.jpg#0r1e,entailment,A large crowd of people are walking around a woman wearing an orange wig and a long blue dress.,A large crowd of people are walking,If the people are walking around then they are walking.,
287967163.jpg#3r1e,entailment,A couple women perform in the street for a crowd of people.,a couple women perform in the street,crowd of people can only be there if one perform,
392172670.jpg#0r1e,entailment,A group of young Oriental children gather around their teacher as she shows them how to complete a task.,Children gather around their teacher,Children are children and they gather around their teacher so they gather around their teacher,
2207346072.jpg#0r1e,entailment,Two men are in a small boat and spraying water at something.,Men are in a small boat and spraying water at something.,There are two men are in a small boat and spraying water,
375947808.jpg#0r1e,entailment,The back of a person wearing a blue hat and overalls sitting in a cart pulled by an animal.,The back of a person wearing a blue hat,"""The back of a person wearing a blue hat"" is a rephrasing of ""The back of a person wearing a blue hat and overalls"".",
4677117650.jpg#3r1e,entailment,A little black girl holding something up to her ear.,little black girl holding something up to her ear,A girl would be singular.,
6556869643.jpg#1r1e,entailment,A classroom of young students forms a human chain by holding onto one another's shoulders.,A classroom of young students forms a human chain,Holding onto one another's shoulders explains what you do in a human chain.,
5381104643.jpg#2r1e,entailment,girl in purple shirt making something out of wood,girl in purple shirt,The girl is wearing a purple shirt.,
4931873269.jpg#3r1c,contradiction,"Three girls playing and smiling on the grass, under an umbrella.","Three girls playing and smiling on the grass, under an umbrella.",The girls would have to be playing at different times for these to be contradictory.,
4931873269.jpg#3r1n,neutral,"Three girls playing and smiling on the grass, under an umbrella.","Three girls playing and smiling on the grass, under an umbrella.",not all girls are always smiling.,
4931873269.jpg#3r1e,entailment,"Three girls playing and smiling on the grass, under an umbrella.","Three girls playing and smiling on the grass, under an umbrella.",The grass is under the umbrella.,
486300784.jpg#4r1e,entailment,Two dogs splash through the lake.,Two dogs splash through the lake.,Dogs splash in the lake.,
4725006515.jpg#0r1e,entailment,Two people are shopping in a supermarket with international flags above their heads.,two people are shopping,Shopping in a supermarket is a type of shopping.,
3859203305.jpg#4r1e,entailment,A boy helps his father work on his truck.,a boy helps his father,A boy helps his father is part of his description on his truck.,
2483495637.jpg#3r1e,entailment,A young boy and a young girl are looking at a book.,A young boy and a young girl are looking,"You could be looking at a book or a rock, you are still looking at something.",
2833888275.jpg#1r1e,entailment,Two women are walking down the sidewalk past a building while one of is looking through her bag.,two women are walking,Two women walking down the sidewalk are walking.,
4344503313.jpg#3r1e,entailment,A group of people wearing bright orange jackets are walking in the snow.,A group of people wearing bright orange jackets are walking in the snow,People wear jackets when in the snow.,
7289004844.jpg#4r1e,entailment,A woman reads by a windmill.,A woman reads by a windmill.,Sentence  B is Connected to Sentence A   because a women can reads by a windmill.,
7521056760.jpg#3r1e,entailment,A man is standing on a baseball field in front of a crowd.,a man is standing,There is a man standing in front of a crowd of people on a baseball field.,
1472433625.jpg#1r1e,entailment,A man in a hat and sunglasses walking by in a residential area.,a man in a hat,A man in a hat implies a man in a hat walking is by in a residential area.,
3999246475.jpg#1r1e,entailment,A large crowd of people are standing around in a park and a few are playing instruments.,People are standing around in a park and a few are playing instruments.,A large crowd is a rephrasing of people standing around in a park.,
2513260012.jpg#3r1e,entailment,Black dog chasing brown dog through snow,Dog chasing brown dog through snow,did not use adjectives to describe the first dog,
4910169752.jpg#4r1e,entailment,Young kids playing a game in a field.,kids playing a game,Kids are young.,
2082663150.jpg#0r1e,entailment,An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.,An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.,"The second sentence is identical to the first sentence, both beginning with An elderly gentleman.",
2319808437.jpg#4r1e,entailment,Two boys watch a third boy kicking some snow.,Two boys watch a third boy kicking some snow,Boys are children.,
14377317.jpg#2r1e,entailment,A young boy is hitting a ball off of a tee.,a young boy is hitting a ball,The boy is young. A ball is for hitting.,
2760167.jpg#4r1e,entailment,Nine men wearing tuxedos sing.,Men wearing tuxedos sing.,Men wearing tuxedos sing is less descriptive way of saying that nine men wearing tuxedos sing.,
6224759631.jpg#2r1e,entailment,A young man jumps hurdles in a race on a track.,A young man jumps hurdles,The young man jumps hurdles on the track.,
4697485356.jpg#0r1e,entailment,"An older gentleman with a white beard, red cap and black coat holding a can inside a brown paper bag.","An older gentleman with a white beard, red cap and black coat holding a can",A man who is holding a can holds a can.,
121971540.jpg#1r1e,entailment,Two people stand on the side of a large white and red boat.,People stand on the side of a large white and red boat.,people stand is a rephrasing of two people stand,
3980506413.jpg#1r1e,entailment,A man is working in a mine or cavern of some sort.,a man is working in a mine,Some cavern sort of is still a mine,
485341861.jpg#1r2e,entailment,Three people are standing in front of a sign that has an american flag on it.,Three people are standing in front of a sign that has an american flag on it.,"When Three people are standing in front of a sign that has an american flag on it, then Three people are standing in front of a sign that has an american flag on it.",
vg_len44r1e,entailment,"On a cloudy day, a man in black clothing and a black hat walks toward a River Valley Metro bus.",A man in black clothing and a black hat .,it states the man is wearing black clothing and a black hat in both,
2141065212.jpg#3r1e,entailment,Older man with glasses wearing a car racing hat and jacket.,Older man with glasses wearing a car racing hat and jacket,Older man with glasses wearing a car racing hat and jacket is the same as older man with glasses wearing a car racing hat and jacket,
6892084963.jpg#3r1e,entailment,man shoveling dirt into a pile,man shoveling dirt,The man is shoveling dirt because he is putting it in a pile,
1405221276.jpg#1r1e,entailment,Two dogs shake off water in an area with very little vegetation.,dogs shake off water,The dogs shake off.,
2647593678.jpg#0r1e,entailment,A woman is clapping her hands while running in front of a running brown dog.,a woman is clapping,if the woman is clapping than the woman must be clapping,
2069390245.jpg#4r1e,entailment,A brown-haired man standing in a green apron with hands on his hips.,Man standing in a green apron with hands on his hips,the man is being described as brown-haired.,
4464227673.jpg#1r1e,entailment,Someone falls asleep on the train listening to their music.,Someone falls asleep,Someone falls asleep in both examples.,
4773293976.jpg#4r1e,entailment,A teenager sitting on the steps deep in thought.,A teenager sitting on the steps deep in thought.,A teenager sitting on the steps deep in thought is the same as a teenager sitting on the steps deep in thought.,
3597146852.jpg#4r1e,entailment,He is skateboarding.,He is skateboarding.,Its a possible that he could be skateboarding,
7664745438.jpg#2r5e,entailment,Two girls are competing and one wearing blue is on the floor while the one wearing white is on top of her.,two girls are competing,If two girls are competing then two girls are competing,
4931508322.jpg#3r1e,entailment,A man is fishing on a vast calm lake bordered by a misty mountain range.,a man is fishing,Fishing on a vast calm lake is nothing but fishing.,
3823691082.jpg#2r1e,entailment,A man in black laying on a bench with his head on the leg of an elderly gentleman wearing blue jeans.,A man in black laying on a bench with his head on the leg of an elderly gentleman .,An elderly gentleman wearing blue jeans is an elderly gentleman.,
2651080346.jpg#0r1e,entailment,A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level.,A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level.,A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level is identical to A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level.,
2745064354.jpg#0r1e,entailment,A confident young girl wearing a cute pink dress who is approximately 6-7 years old is walking across a large outdoor sidewalk area.,A confident young girl wearing a cute pink dress who is approximately 6-7 years old,The  girl is 6-7 years old means the girl is young.,
6784757122.jpg#3r1e,entailment,A woman riding a horse with the ocean in the background.,a woman riding a horse,Riding a horse with the ocean in the background is a form of riding a horse.,
5880786104.jpg#3r1n,neutral,A lady is singing a song on the mic.,A lady is singing a song,A lady is singing a song does imply a lady is singing a song.,
5880786104.jpg#3r1e,entailment,A lady is singing a song on the mic.,A lady is singing,"If a lady is singing, then a lady is singing.",
6451269381.jpg#3r1e,entailment,A team throws a teammate in the air.,A team throws a teammate in the air.,team throws a teammate in the air is restated.,
318309199.jpg#2r1e,entailment,At the bowling alley a small asian child is excited.,child is excited,"At the bowling alley, a small child is excited!  This is their first visit!",
2537583012.jpg#3r1e,entailment,Two men are rollerskating on a sidewalk,two men are rollerskating,They say the same thing only in the first sentence Two is properly capitalized.,
4829856573.jpg#4r3e,entailment,A man stands outside a blue building holding a white helmet.,A man stands outside,"A man stands outside a blue building holding a white helmet, would not be A man stands outside",
3831843450.jpg#2r1e,entailment,Two people walking a path on the side of a mountain.,Two people walking a path on the side of a mountain,Mountains have a walking path.,
78347259.jpg#3r1e,entailment,A person demonstrates a high kick on a road.,a person demonstrates,"""A person demonstrates"" is a less specific version of ""a person demonstrates a high kick on a road""",
7366490080.jpg#3r1e,entailment,Three people are shoveling sand.,People are shoveling sand.,Three indicates the number of people.,
1418257247.jpg#4r5e,entailment,People are walking around an oriental plaza.,People are walking around,The people walking an oriental plaza.,
2288988751.jpg#4r1c,contradiction,A couple of patron at a jazz club.,A couple of patron at a jazz club.,They are at a jazz club or not.,
3947306345.jpg#4r1e,entailment,Black cat with mouse in mouth.,Cat with mouse in mouth.,Both subjects have a mouse in mouth,
3945005060.jpg#2r1n,neutral,A man is talking to a blond headed woman at the library.,A man is talking to a blond headed woman,She may not be blond headed,
3945005060.jpg#2r1e,entailment,A man is talking to a blond headed woman at the library.,A man is talking to a blond,The woman the man is talking to is blond.,
12770842.jpg#1r5e,entailment,"In a crowd at a stadium, one man is standing up by himself with his arms up over his head like he's doing the Wave.","In a crowd at a stadium, one man is standing up by himself",Doing the wave assumes one is standing up.,
4940783819.jpg#1r1e,entailment,A boy in a red shirt is sitting on the shoulders of a man in a crowd.,a boy in a red shirt,A boy is wearing a red shirt.,
2537197415.jpg#0r1e,entailment,A child is splashing in a children's pool while other children are playing in the background,A child is splashing in a children's pool while other children are playing in the background,There is a child playing in a pool,
7790582718.jpg#4r1e,entailment,Multiple runners about to start a race.,Runners about to start a race.,Multiple runners are many runners.,
4730353471.jpg#0r1e,entailment,"The colorful streets of a SouthEast Asian city are lined with a few pedestrians, a few cyclists, but no automobiles.",The colorful streets of a SouthEast Asian city are lined with a few pedestrians,"The colorful streets are filled with pedestrians, cyclists but no automobiles.",
2663977526.jpg#4r1e,entailment,Live crabs for sale in a bin.,Live crabs for sale,crabs are put in a bin.,
4592269543.jpg#2r1e,entailment,A man on a bike that is doing a trick.,a man on a bike,he is doing a trick on his bike,
207015505.jpg#1r1e,entailment,A young man in a white shirt holding cotton candy next to a young woman in a white tank top.,A young man in a white shirt holding cotton candy next to a young woman in a white tank top.,both subjects are holding,
4689083291.jpg#0r1e,entailment,"In a very crowded city, a small group of adults stand in the middle of a patch of grass enclosed by a black metal fence.","In a very crowded city, a small group of adults stand",Adults stand in a city in both examples.,
3636543173.jpg#2r3e,entailment,A man has his hands up while standing next to another man with a drink.,A man has his hands up while standing next to another man with a drink.,A man is waiting for a drink.,
6632464405.jpg#4r1e,entailment,A musician performs on stage with pyrotechnic displays.,a musician performs on stage,A musician performs on stage with pyrotechnic displays is a form of a musician performs on stage,
2573811416.jpg#3r1e,entailment,Some people wandering near a construction field.,People wandering near a construction field.,Some people and people are both stating there is more than one person.,
261436644.jpg#3r1e,entailment,A young boy is playing doctor with a toy stethoscope along with a woman.,a young boy is playing,A young boy is playing doctor with a toy stethoscope is a form of a young boy is playing,
24498061.jpg#1r1e,entailment,Two men talking to another guy in a green cap as another man sleeps on a bench in the back.,Two men talking to another guy in a green cap as another man sleeps on a bench in the back.,"If ""two men talking to another guy in a green cap as another man sleeps on a bench in the back"", then ""two men talking to another guy in a green cap as another man sleeps on a bench in the back"".",
3288274849.jpg#2r1e,entailment,A person jumping down a hill on his snowboard in the winter,A person jumping down a hill on his snowboard in the winter,Someone jumping down a hill on a snowboard in winter does just that.,
342040842.jpg#4r1n,neutral,Patrons at a bar down a cocktail.,Patrons at a bar down,Patrons at a bar could be drinking anything down.,
342040842.jpg#4r1e,entailment,Patrons at a bar down a cocktail.,Patrons at a bar down a cocktail.,Patrons at a bar down a cocktail is the same for both.,
3555573680.jpg#1r1e,entailment,A man on a waterski is performing a jump in the air.,a man on a waterski,A man is on a waterski in both.,
406380299.jpg#1r1e,entailment,Male vendors are selling fruit in an outside market near a heavily-trafficked street.,Male vendors are selling fruit,Male vendors are selling fruit is the same as male vendors are selling fruit,
344841963.jpg#1r1e,entailment,Three people are sitting on a bus stop bench in between two tropical palm trees.,People are sitting on a bus stop bench in between two tropical palm trees.,people are sitting on a bus stop bench in between two tropical palm trees is the same as people are sitting on a bus stop bench in between two tropical palm trees.,
331023909.jpg#4r1e,entailment,People are waiting in queue to get their tickets.,People are waiting in queue,""" People are waiting in queue "" is repeated.",
1808504612.jpg#4r2e,entailment,Two kids in a green tree.,Two kids in a green tree,Two kids both are.,
5455524571.jpg#3r1e,entailment,A man is eating a sandwich and a banana at a desk.,A man is eating,Man is in both.,
2318927873.jpg#1r1e,entailment,A woman in a red robe bows her head before a large stone brick wall.,A woman in a red robe bows her head before a large stone brick wall,SHE IS BY THE LARGE STONE BRICK WALL..,
4935646855.jpg#1r1e,entailment,"A man is standing in the street wearing an elaborate outfit which includes a blue t-shirt, suspenders and purple tights.","A man is standing in the street wearing an elaborate outfit which includes a blue t-shirt, suspenders and purple tights.",a man standing the street in wearing in different outfit.,
7773468788.jpg#3r1e,entailment,Several employees working on an underground rail track.,Employees working on an underground rail track.,since employees are working there are several of them.,
4452982147.jpg#0r1e,entailment,Bicyclists and pedestrians share the road with a bus going down an urban street while two tall buildings loom in the background.,Bicyclists and pedestrians share the road with a bus,The bicyclists and pedestrians are on the road with a bus.,
428501119.jpg#4r1n,neutral,A band is playing outside on a stone walkway.,a band is playing outside,"A band is playing outside on a stone walkway, but he band isn't necessarily playing like children.",
428501119.jpg#4r1e,entailment,A band is playing outside on a stone walkway.,a band is playing,A band is playing outside means a band is playing.,
4805058459.jpg#2r1e,entailment,Several people stand on a bike rack to look at something over bleachers.,People stand on a bike rack to look at something over bleachers.,people means several.,
4667685590.jpg#3r1e,entailment,Three women hold hands and walk in the ocean.,women hold hands and walk in the ocean,If there are three women there are women.,
4667685590.jpg#3r1c,contradiction,Three women hold hands and walk in the ocean.,men hold hands and walk in the ocean,There are either men or women holding hands.,
5565536413.jpg#2r1e,entailment,An artist is painting a mural outside on a big corrugated metal wall.,An artist is painting,An artist is painting a mural outside on a metal wall.,
4697416490.jpg#4r1e,entailment,A group of people are outside fishing.,People are outside fishing.,We have established that people are outside fishing.,
3655176735.jpg#1r1n,neutral,A woman with short black hair and a colorful necklace reads a children's illustration book.,A woman with short black hair and a colorful necklace reads .,"the woman is reading a children's illustration book, but not necessarily just reads.",
3207676216.jpg#0r1e,entailment,four husky dogs are pulling a sled in a race through the snow guided by a man wearing number eleven.,four husky dogs are pulling a sled,In both sentences four husky dogs are pulling a sled.,
3658643976.jpg#4r1e,entailment,A group of people are carrying flags.,People are carrying flags.,A group of people constitute people.,
1433397131.jpg#2r1e,entailment,A number of colorful balls hide children.,Colorful balls hide children.,A number of colorful balls aer still colorful balls.,
2573830838.jpg#4r1e,entailment,2 people in Africa wait for food.,People in Africa wait for food.,2 people are still people.,
445655284.jpg#1r1e,entailment,A black and brown dog walks through the snow near a building.,A black and brown dog walks through the snow near a building,Walks and walks have the same meaning.,
7029905711.jpg#0r1e,entailment,"A man in a black uniform and white hat works in a food service, and pours sauce over food with a ladle.",A man in a black uniform and white hat works,Man in both.,
2671168017.jpg#1r1e,entailment,A cyclist is passing by a river with a pillow attached to his bike.,A cyclist is passing by a river,""" A cyclist is passing by a river "" is repeated.",
489226417.jpg#4r1e,entailment,A group of people working to package the drink.,People working to package the drink.,A group is another word for people.,
327508059.jpg#3r1e,entailment,The man is passing out newspapers while an elderly woman watches on.,The man is passing out newspapers,Both describe the same man performing the same activity of passing out newspapers.,
5790840713.jpg#3r1e,entailment,Women in a sewing factory with red fabric.,Women in a sewing factory,"Both describe women who are in the same location, that of a sewing factory.",
123416768.jpg#0r1e,entailment,"Three women at a shopping mall, one has a dog, one is on her cellphone, one is playing with her necklace.",Three women at a shopping mall,women at a shopping mall is same as women at a shopping mall,
3270273940.jpg#0r1n,neutral,Two young children jumping off of a cement ledge onto the dirt ground.,Two young children jumping off,Children could be jumping off anywhere.,
2925160864.jpg#4r1e,entailment,A woman running a marathon.,A woman running,running a marathon is running.,
4803787546.jpg#2r1e,entailment,Three males are walking across a field.,Three males are walking across a field.,"""Three males are walking across a field."" Both sentences are identical.",
4477801634.jpg#3r1e,entailment,A person taking photos of a group of children sitting on the ground.,A person taking photos of a group of children sitting on the ground.,The two statements are exactly the same: a person taking photos of children sitting on the ground,
4790340620.jpg#4r1e,entailment,Oriental people in colorful attire.,People in colorful attire.,Oriental is a race of people.,
3547000169.jpg#0r1e,entailment,Three men are sitting inside of a store while the green neon lights flash on them from outside.,men are sitting,Sitting as a group normally implies sitting inside.,
984950.jpg#2r1e,entailment,A group of men are sitting down on the ground together.,Men are sitting,' A group of men are sitting down ' is  a rephrasing of ' Men are sitting '.,
4916125179.jpg#1r1e,entailment,A teenage boy putting up a shear tent in the hot sun.,A teenage boy putting up a shear tent,The two statements are saying the same thing: a teenage boy is putting up a shear tent,
4916125179.jpg#0r1e,entailment,A young man seated on a metal framed structure smiles as he tugs slightly on a nylon tarp.,A young man seated on a metal framed structure smiles,"""A young man seated on a metal framed structure smiles"" is a rephrasing of ""A young man seated on a metal framed structure smiles as he tugs slightly on a nylon tarp.""",
4515615789.jpg#1r1e,entailment,A local paddles their canoe through the water.,A local paddles their canoe through the water.,A local paddles is same as  A local paddles,
2507687411.jpg#1r1e,entailment,Two people are talking in front of a woman in black and pink looking at blue bags.,People are talking,People are two or more.,
2555760012.jpg#3r1e,entailment,A girl overlooks a boy sitting down reading a book.,A girl overlooks a boy sitting down,Girl overlooks a boy sitting down is part of the earlier sentence.,
2843524276.jpg#2r1e,entailment,Four small children are being entertained by an accordion player.,Four small children are being entertained,If the kids are entertained by an accordion player then they are entertained.,
4727856108.jpg#2r1e,entailment,People walking through a crowded market.,People walking through a crowded market,There are people walking through the market.,
4687557761.jpg#3r1e,entailment,A large group of people are racing through a heavily treed park.,people are racing,"People are racing through the park, therefore they are racing.",
2319989266.jpg#2r1e,entailment,"A man with glasses, gray hair and all black clothing is sitting down in front of a musical stand.","A man with glasses, gray hair and all black clothing is sitting down",A man refers to a man.,
6878449128.jpg#2r1e,entailment,A young boy with a blue jacket holding a yellow wire.,A young boy with a blue jacket,""" A young boy with a blue jacket "" is repeated.",
24183660.jpg#3r1e,entailment,Group of male and female singers on stage.,Singers on stage.,"""Group of male and female singers "" is a specific description of singers.",
4950966242.jpg#0r1e,entailment,Three young males sit down on the floor with a view of the mountain and a communication tower in the background.,Three young males sit down on the floor,In both cases the males are sitting on the floor.,
7409854468.jpg#3r1e,entailment,Three onlookers watch a jogger pass as one of them hands him a drink.,Three onlookers watch a jogger pass,The jogger is passing three onlookers.,
3527524436.jpg#2r1e,entailment,A man waterskiing during the winter time as people watch,A man waterskiing during the winter time as people watch,man waterskiing during the winter time as people watch is the same as man waterskiing during the winter time as people watch,
1678844410.jpg#4r1e,entailment,A child jumping from a small height to the sidewalk.,A child jumping from a small height to the sidewalk,jumping represented as it is in the both sentence,
522712748.jpg#3r1e,entailment,"A boat named ""ELOIN"" floats on the water.","A boat named ""ELOIN"" floats on the water",A boat floats on the water - The sentences are the same.,
4100572429.jpg#2r1e,entailment,A crowd in an old mosque watches a performance of a woman who is getting dressed up and somebody juggling with a ball.,A crowd in an old mosque watches a performance of a woman who is getting dressed up and somebody juggling with a ball.,A crowd in a mosque watches a performance of a woman getting dressed and somebody juggling is a restatement of a crowd in a mosque watches a performance of a woman getting dressed and somebody juggling.,
3131107810.jpg#2r1e,entailment,Four hooded children huddle under a blanket outdoors.,children huddle under a blanket,It is said that there are four children.,
2384917638.jpg#1r1e,entailment,A woman in a blue shirt is sitting in a bus while a man with a backpack stands.,A woman in a blue shirt is sitting,A woman wearing a blue shirt is sitting.,
6020763700.jpg#2r1e,entailment,"A woman is looking at the nutrition facts of a food item, while her friend plays on her smartphone.",a woman is looking,There should be some thing or some nutrition facts for looking.,
2401947932.jpg#2r1e,entailment,Two people riding an elephant through a river.,People riding an elephant,Both subjects are riding,
3721368299.jpg#3r1e,entailment,A girl is folding laundry in what appears to be a very small room.,a girl is folding,A girl can be folding laundry or simply folding.,
3487015378.jpg#0r1e,entailment,A woman dressed in green is rollerskating outside at an event.,A woman dressed in green is rollerskating,woman dressed in green is rollerskating so she outdoors,
1634820545.jpg#3r1c,contradiction,Women in dresses leaning on a metal fence.,Men in dresses leaning on a metal fence.,"The first one refers to women while the second refers to men, and men don't wear dresses.",
4684428787.jpg#0r1e,entailment,A soldier fires his gun while standing next to a wall.,A soldier fires his gun,A soldier fires his gun mean he has a gun.,
205682549.jpg#1r1e,entailment,A man feels on top of the world on top of a large rock formation.,A man feels on top of the world,A man feels on top of the world is repeated verbatim.,
3497565955.jpg#2r1e,entailment,A group of people are running through a street.,People are running through a street.,A group of people are people.,
8169402416.jpg#4r1e,entailment,A woman sings a song as a man plays the guitar.,A woman sings a song,Sings a song,
4867342775.jpg#3r1e,entailment,Six people in an American Business Club meeting.,People in an American Business Club meeting.,Both sentence are talking about people in american business club meeting,
205404905.jpg#4r1e,entailment,Workmen digging a trench.,men digging a trench,Workmen are men.,
8159685316.jpg#3r1e,entailment,A group of people are running.,People are running.,group almost the same as  People,
2063399864.jpg#1r1e,entailment,An adult wearing a black shirt and tan pants is standing at the water's edge with two children.,An adult wearing a black shirt and tan pants is standing at the water's edge with two children.,Adult in both.,
8664920.jpg#4r1e,entailment,A man is preparing a hot beverage.,A man is preparing a hot beverage.,Preparing is same as preparing.,
4398362068.jpg#0r1e,entailment,Four younger children are together as one of the younger ones is looking at one older one that is with them.,children are together,Children are together implies a four younger children are together as one of the younger ones is looking at one older one that is with them.,
3823691082.jpg#1r1e,entailment,An elderly gentleman seated on a park bench appears to be napping with a young man laying across his lap asleep.,An elderly gentleman seated on a park bench appears to be napping with a young man laying across his lap asleep,"An elderly gentleman is a type of gentleman, and young man is a type of man.",
7180539669.jpg#0r1e,entailment,A painting of people standing outside of building underneath two trees looking towards a yellow light.,painting of people,If there is a painting of people then there is a painting.,
360509186.jpg#3r1e,entailment,Young people are sitting and talking in a coffee bar.,Young people are sitting and talking,Sitting and talking can be done in a coffee bar.,
7606751856.jpg#1r1e,entailment,A woman is pouring an orange liquid into the champagne glasses.,a woman is pouring,The woman is pouring because she is pouring an orange liquid.,
765929807.jpg#4r1e,entailment,Three people climb on a large rock.,Three people climb,People can only climb on a large .,
3337945724.jpg#4r1e,entailment,A girl is looking at a tripod.,a girl is looking,The girl must be looking in order to be looking at a tripod.,
7001949951.jpg#3r1e,entailment,A woman paints a brown vase with white flowers.,A woman paints,Paints a brown vase with white flowers shows that a woman paints.,
4736134384.jpg#4r1e,entailment,A woman is protesting against pollution.,A woman is protesting against pollution.,protesting against pollution is protesting against pollution,
2542432380.jpg#2r4e,entailment,A group of people eating on a picnic table at a park.,a group of people eat,people eating shows that the people eat on a picnic table,
6188880632.jpg#4r1e,entailment,Three girls playing volleyball.,girls playing volleyball,Two or more girls would need to have the word girls. In this case there are three girls.,
3653230362.jpg#2r1e,entailment,A woman and man are talking while another woman leans on her car biting her nails.,A woman and man are talking,The man and the woman are talking.,
363617160.jpg#1r1e,entailment,A girl bends down to paint something underneath her.,A girl bends down,A girl bends down to paint something underneath her can be shortened to a girl who bends down without ruining the meaning of the action.,
2894850774.jpg#0r1e,entailment,Two older women conversing near a wall as seen from the driver's seat of a parked vehicle.,Two older women conversing near a wall,"If they're conversing near a wall then they are, in fact, conversing near the said wall.",
2276230068.jpg#0r1e,entailment,A young toddler boy sitting on floor holding his brightly colored plastic toy hammer and wearing large orange star glasses.,A young toddler boy sitting on floor,A young toddler boy sitting on floor holding his brightly colored plastic toy hammer and wearing large orange star glasses implies A young toddler boy sitting on floor.,
7052778829.jpg#3r1e,entailment,A surfer gets air while others watch.,A surfer gets air while others watch.,"Sentence 2 restates Sentence 1 word for word, a that surfer gets air while others watch.",
191457211.jpg#4r1e,entailment,Two girls lie in bed in the presence of dogs.,girls lie in bed,The girls who lie in bed are the ones who are lying in the presence of dogs.,
457607803.jpg#0r1e,entailment,A lady pouring tea into tea cups with flower print on them.,a lady pouring tea,"""A lady pouring tea into tea cups with flower print on them."" is a rephrasing of "" lady pouring tea""",
4920764215.jpg#3r1e,entailment,People with umbrellas walking past shops in the rain.,People with umbrellas walking past shops in the rain,People with umbrellas walking past shops in the rain is an exact repetition of people with umbrellas walking past shops in the rain.,
2797188545.jpg#4r1e,entailment,Two people are in a canoe.,People are in a canoe.,Two people could be simply described as people.,
